-20,-25,-5,23,-7,-15,,,,,,
-30,-34,-4,32,-13,-19,,,,,,
-33,-34,-1,34,-16,-17,,,,,,
-28,-29,-1,29,-13,-15,,,,,,
-10,-15,-5,13,-2,-10,,,,,,
-7,-11,-4,9,-1,-7,,,,,,
-12,-13,-1,13,-5,-7,,,,,,
-24,-25,-1,25,-11,-13,,,,,,
-26,-27,-1,27,-12,-14,,,,,,
-21,-22,-1,22,-10,-11,,,,,,
-15,-15,0,15,-7,-7,,,,,,
-15,-13,2,14,-8,-5,,,,,,
-23,-18,5,20,-14,-6,,,,,,
-24,-19,5,21,-14,-7,,,,,,
-23,-19,4,21,-13,-7,,,,,,
-27,-24,3,25,-15,-10,,,,,,
-37,-30,7,33,-22,-11,,,,,,
-49,-36,13,42,-31,-11,,,,,,
-59,-45,14,52,-36,-15,,,,,,
-56,-41,15,48,-35,-13,,,,,,
-35,-17,18,26,-26,0,,,,,,
-10,10,20,0,-15,15,,,,,,
11,30,19,-21,-4,24,,,,,,
7,20,13,-14,-3,16,,,,,,
-1,6,7,-3,-4,6,,,,,,
-13,-12,1,12,-7,-5,,,,,,
-18,-25,-7,22,-5,-16,,,,,,
-13,-27,-14,20,1,-20,,,,,,
8,-12,-20,2,14,-16,,,,,,
36,7,-29,-21,32,-11,,,,,,
61,22,-39,-41,50,-8,,,,,,
63,15,-48,-39,55,-16,,,,,,
57,2,-55,-29,56,-26,,,,,,
47,-14,-61,-16,54,-37,,,,,,
46,-21,-67,-12,57,-44,,,,,,
55,-19,-74,-18,65,-46,,,,,,
82,-3,-85,-39,84,-44,,,,,,
122,26,-96,-74,109,-35,,,,,,
153,47,-106,-100,129,-29,,,,,,
145,27,-118,-86,131,-45,,,,,,
143,18,-125,-80,134,-53,,,,,,
144,16,-128,-80,136,-56,,,,,,
116,-3,-119,-56,118,-61,,,,,,
94,-13,-107,-40,101,-60,,,,,,
87,-6,-93,-40,90,-49,,,,,,
108,41,-67,-74,87,-13,,,,,,
123,82,-41,-102,82,20,,,,,,
81,55,-26,-68,53,14,,,,,,
39,29,-10,-34,24,9,,,,,,
-4,4,8,0,-6,6,,,,,,
14,33,19,-24,-3,26,,,,,,
26,51,25,-39,0,38,,,,,,
29,53,24,-41,2,38,,,,,,
14,37,23,-26,-5,30,,,,,,
-13,9,22,2,-18,15,,,,,,
-63,-44,19,53,-41,-12,,,,,,
-59,-45,14,52,-36,-15,,,,,,
-20,-12,8,16,-14,-2,,,,,,
21,27,6,-24,7,16,,,,,,
46,50,4,-48,21,27,,,,,,
46,49,3,-48,21,26,,,,,,
35,38,3,-37,16,20,,,,,,
21,24,3,-23,9,13,,,,,,
7,12,5,-10,1,8,,,,,,
-1,7,8,-3,-5,7,,,,,,
-4,7,11,-2,-8,9,,,,,,
9,18,9,-14,0,13,,,,,,
17,26,9,-22,4,17,,,,,,
17,29,12,-23,2,20,,,,,,
